Name,Team,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Best3DeadliftKg,TotalKg,Place,Sex,AgeClass,Equipment,Event
Lenka Pilnikova,NW,F-O-U,46.5,47,95,-97.5,100,100,67.5,70.5,72.5,72.5,130,135,138,138,310.5,1,F,23.5-38.5,Raw,SBD
Michelle Ryder,GL,F-M1-U,43.8,47,60,65,70,70,40,-45,45,45,110,-115,115,115,230,1,F,39.5-48.5,Raw,SBD
Imelda Flanagan,EM,F-M2-U,40.6,47,67.5,72.5,75,75,35,37.5,40,40,100,105,107.5,107.5,222.5,1,F,49.5-58.5,Raw,SBD
Jamie Lei Fuller,SW,F-SJ-U,51.6,52,95,100.5,105,105,55,60.5,-65,60.5,112.5,-117.5,-123,112.5,278,1,F,0-17.5,Raw,SBD
Tiarna Pearce,GL,F-J-U,51.9,52,117.5,122.5,125,125,52.5,55,57.5,57.5,130,140,150,150,332.5,1,F,0-22.5,Raw,SBD
Alex Bates,EM,F-O-U,51.6,52,112.5,117.5,-122.5,117.5,62.5,67.5,70,70,117.5,125,-130,125,312.5,1,F,23.5-38.5,Raw,SBD
Natalie Banks,NW,F-O-U,50.9,52,90,92.5,-95,92.5,60,-62.5,62.5,62.5,140,145,,145,300,2,F,23.5-38.5,Raw,SBD
Tania Robins,NW,F-O-U,50.4,52,95,100,102.5,102.5,-50,50,-55,50,127.5,135,-142.5,135,287.5,3,F,23.5-38.5,Raw,SBD
Rei Townsend,SM,F-O-U,50.8,52,-85,87.5,92.5,92.5,52.5,-55,55,55,-120,122.5,130,130,277.5,4,F,23.5-38.5,Raw,SBD
Sofia Rufus,SW,F-M1-U,51.4,52,-112.5,117.5,121,121,52.5,-57.5,-57.5,52.5,112.5,122.5,-130,122.5,296,1,F,39.5-48.5,Raw,SBD
Amanda Winter,SW,F-M1-U,49.3,52,77.5,85,90,90,50,55,60,60,100,107.5,112.5,112.5,262.5,2,F,39.5-48.5,Raw,SBD
Stacie Jones,YNE,F-J-U,56.8,57,-130,-135,135,135,65,70,72.5,72.5,135,145,150,150,357.5,1,F,0-22.5,Raw,SBD
Sabrina Rew,SW,F-J-U,56.2,57,120,127.5,132.5,132.5,65,70,72.5,72.5,135,142.5,-155,142.5,347.5,2,F,0-22.5,Raw,SBD
Joely Hawke,GL,F-J-U,55.9,57,110,115,120,120,65,67.5,70,70,132.5,140,145,145,335,3,F,0-22.5,Raw,SBD
Ruth Saliu,GBR,F-J-U,54.7,57,97.5,102.5,107.5,107.5,60,62.5,-65,62.5,137.5,145,152.5,152.5,322.5,4,F,0-22.5,Raw,SBD
Lydia Forrest,SE,F-J-U,55.6,57,107.5,112.5,-117.5,112.5,60,62.5,-65,62.5,125,130,135,135,310,5,F,0-22.5,Raw,SBD
Moya Williams,GL,F-O-U,56.8,57,120,125,127.5,127.5,60,65,70,70,190,200,203.5,203.5,401,1,F,23.5-38.5,Raw,SBD
Jodie Cook,WM,F-O-U,56.8,57,127.5,135,-140,135,80,-85,85,85,160,172.5,180,180,400,2,F,23.5-38.5,Raw,SBD
Makeda Vidal,GL,F-O-U,55.8,57,147.5,155,-160,155,65,-70,-70,65,165,-175,175,175,395,3,F,23.5-38.5,Raw,SBD
Catherine Smith,WM,F-O-U,53.9,57,125,135,140,140,55,-60,60,60,167.5,182.5,-195,182.5,382.5,4,F,23.5-38.5,Raw,SBD
Sonia Fierro,GL,F-O-U,56.3,57,120,125,127.5,127.5,62.5,-67.5,-67.5,62.5,160,170,180,180,370,5,F,23.5-38.5,Raw,SBD
Claire Burns,NM,F-O-U,56.5,57,107.5,112.5,117.5,117.5,70,72.5,75,75,150,157.5,-160,157.5,350,6,F,23.5-38.5,Raw,SBD
Emily Przeslak,GL,F-O-U,56.8,57,110,115,117.5,117.5,60,65,67.5,67.5,135,142.5,147.5,147.5,332.5,7,F,23.5-38.5,Raw,SBD
Jessica Terry,YNE,F-O-U,55.7,57,100,107.5,-110,107.5,57.5,60,62.5,62.5,137.5,145,152.5,152.5,322.5,8,F,23.5-38.5,Raw,SBD
Suzana Sorokova,GL,F-O-U,55.3,57,100,107.5,110,110,55,60,-65,60,125,135,-145,135,305,9,F,23.5-38.5,Raw,SBD
Debbie Bell,GL,F-O-U,55.1,57,100,105,-107.5,105,55,57.5,-60,57.5,132.5,140,-145,140,302.5,10,F,23.5-38.5,Raw,SBD
Anastasia Harmer,GL,F-O-U,56.4,57,87.5,95,100,100,57.5,-62.5,62.5,62.5,125,132.5,140,140,302.5,11,F,23.5-38.5,Raw,SBD
Navta Massand,WM,F-O-U,56,57,102.5,110,115,115,42.5,47.5,50,50,127.5,135,-142.5,135,300,12,F,23.5-38.5,Raw,SBD
Bryony Farlow,WM,F-O-U,56.3,57,102.5,110,-112.5,110,40,45,47.5,47.5,117.5,125,-130,125,282.5,13,F,23.5-38.5,Raw,SBD
Anoula Rayburn,GL,F-O-U,56,57,90,97.5,102.5,102.5,55,60,-62.5,60,100,110,115,115,277.5,14,F,23.5-38.5,Raw,SBD
Felicity Sadler,EM,F-O-U,55.9,57,95,-102.5,-102.5,95,50,55,57.5,57.5,105,112.5,117.5,117.5,270,15,F,23.5-38.5,Raw,SBD
Melissa Henderson,YNE,F-O-U,55.5,57,77.5,82.5,-87.5,82.5,-50,52.5,-57.5,52.5,125,-132.5,-132.5,125,260,16,F,23.5-38.5,Raw,SBD
Tamar Aliphon,SM,F-O-U,54.3,57,80,85,90,90,42.5,-45,-45,42.5,105,115,120,120,252.5,17,F,23.5-38.5,Raw,SBD
Donna Bradbury,NW,F-M1-U,55.2,57,-125,125,127.5,127.5,60,65,67.5,67.5,142.5,150,-155,150,345,1,F,39.5-48.5,Raw,SBD
Emma Drackford,SM,F-M1-U,56.2,57,115,120,125.5,125.5,52.5,57.5,-60,57.5,117.5,122.5,127.5,127.5,310.5,2,F,39.5-48.5,Raw,SBD
Karenjeet Bains,WM,F-J-U,62.4,63,130,-135,,130,75,80,-82.5,80,152.5,-160,,152.5,362.5,1,F,0-22.5,Raw,SBD
Mollie Thorpe,SW,F-J-U,60.2,63,117.5,125,132.5,132.5,60,67.5,-70,67.5,125,135,142.5,142.5,342.5,2,F,0-22.5,Raw,SBD
Lizzie Hawkins,WM,F-J-U,61,63,107.5,115,120,120,55,60,-62.5,60,125,132.5,140,140,320,3,F,0-22.5,Raw,SBD
Tamsin Ribton-Turner,SM,F-J-U,60.3,63,100,107.5,115,115,55,60,62.5,62.5,110,120,127.5,127.5,305,4,F,0-22.5,Raw,SBD
Luisa Vargas,GL,F-J-U,62.2,63,102.5,107.5,110,110,57.5,60,-62.5,60,120,130,135,135,305,5,F,0-22.5,Raw,SBD
Fern Wilson,NM,F-J-U,62.1,63,90,97.5,-102.5,97.5,55,57.5,-60,57.5,100,107.5,112.5,112.5,267.5,6,F,0-22.5,Raw,SBD
Moa Wikner,GL,F-O-U,62.4,63,145,-150,-150,145,87.5,90,-92.5,90,172.5,182.5,-187.5,182.5,417.5,1,F,23.5-38.5,Raw,SBD
Grace Stilgoe,GL,F-O-U,62.2,63,-145,145,150,150,-77.5,80,82.5,82.5,165,172.5,-177.5,172.5,405,2,F,23.5-38.5,Raw,SBD
Elspeth McLeod,YNE,F-O-U,61.6,63,127.5,137.5,-140,137.5,90,-97.5,-101,90,-140,140,155,155,382.5,3,F,23.5-38.5,Raw,SBD
Karen Lai,GL,F-O-U,62.3,63,132.5,137.5,-142.5,137.5,82.5,87.5,90,90,145,155,-160,155,382.5,4,F,23.5-38.5,Raw,SBD
Stephanie Pike,YNE,F-O-U,60.3,63,125,130,-135,130,67.5,70,-72.5,70,180,-190,-190,180,380,5,F,23.5-38.5,Raw,SBD
Sophie Hardy,NM,F-O-U,61.2,63,130,-135,135,135,72.5,75,,75,135,142.5,147.5,147.5,357.5,6,F,23.5-38.5,Raw,SBD
Katie Gurden,EM,F-O-U,62.5,63,115,120,125,125,55,62.5,65,65,140,152.5,-155,152.5,342.5,7,F,23.5-38.5,Raw,SBD
Kate Barnes,EM,F-O-U,63,63,105,-107.5,110,110,65,67.5,-70,67.5,157.5,160,165,165,342.5,8,F,23.5-38.5,Raw,SBD
Laura Howlett,EM,F-O-U,61.6,63,100,107.5,112.5,112.5,60,62.5,65,65,150,-155,-155,150,327.5,9,F,23.5-38.5,Raw,SBD
Ana Rubio Denniss,GL,F-O-U,62.1,63,-115,117.5,120,120,62.5,65,-67.5,65,132.5,137.5,142.5,142.5,327.5,10,F,23.5-38.5,Raw,SBD
Alice Coates,YNE,F-O-U,61.5,63,100,107.5,112.5,112.5,52.5,57.5,60,60,125,132.5,140,140,312.5,11,F,23.5-38.5,Raw,SBD
Laura Battersby,NM,F-O-U,62.3,63,95,-100,100,100,60,-62.5,62.5,62.5,140,150,-155,150,312.5,12,F,23.5-38.5,Raw,SBD
Terezia Borcsok,WM,F-O-U,62.8,63,110,115,120,120,50,55,-57.5,55,122.5,130,137.5,137.5,312.5,13,F,23.5-38.5,Raw,SBD
Samantha Henderson,EM,F-O-U,61.3,63,105,110,-115,110,60,62.5,65,65,120,125,130,130,305,14,F,23.5-38.5,Raw,SBD
Nicola Day,EM,F-O-U,61.9,63,100,107.5,-112.5,107.5,60,65,67.5,67.5,122.5,130,-137.5,130,305,15,F,23.5-38.5,Raw,SBD
Nasreen Ahmed,WM,F-O-U,61.5,63,107.5,-112.5,-112.5,107.5,50,-55,55,55,127.5,137.5,-142.5,137.5,300,16,F,23.5-38.5,Raw,SBD
Jana Civelova,GL,F-O-U,62.6,63,100,105,-110,105,47.5,50,-52.5,50,127.5,-130,-130,127.5,282.5,17,F,23.5-38.5,Raw,SBD
Maddie Zitman,YNE,F-M1-U,61.7,63,105,-110,-110,105,-60,60,-62.5,60,110,120,130,130,295,1,F,39.5-48.5,Raw,SBD
Libby Brinkler,EM,F-M1-U,61.4,63,85,-92.5,-95,85,52.5,57.5,60,60,105,112.5,120,120,265,2,F,39.5-48.5,Raw,SBD
Alison Jones,GL,F-M2-U,62.2,63,-97.5,97.5,-102.5,97.5,55,-57.5,,55,120,130,137.5,137.5,290,1,F,49.5-58.5,Raw,SBD
Tree Grennan,YNE,F-M2-U,59.4,63,72.5,-77.5,77.5,77.5,40,-45,-45,40,92.5,102.5,-107.5,102.5,220,2,F,49.5-58.5,Raw,SBD
Mona Smith,SM,F-M2-U,62.2,63,70,75,-77.5,75,42.5,-45,-45,42.5,95,100,-107.5,100,217.5,3,F,49.5-58.5,Raw,SBD
Daniella Chester,SW,F-SJ-U,67.6,72,77.5,85,90,90,47.5,52.5,57.5,57.5,95,105,115,115,262.5,1,F,0-17.5,Raw,SBD
Sophia Ellis,GL,F-J-U,71.4,72,127.5,135,142.5,142.5,90,97.5,-100,97.5,182.5,192.5,0,192.5,432.5,1,F,0-22.5,Raw,SBD
Sian Arterton,EM,F-J-U,71,72,145,152.5,155,155,80,-85,-85,80,147.5,155,-160,155,390,2,F,0-22.5,Raw,SBD
Jess Bagdonas,GL,F-J-U,71.1,72,115,125,-135,125,62.5,67.5,-70,67.5,145,157.5,-165,157.5,350,3,F,0-22.5,Raw,SBD
Lily Erskine,EM,F-J-U,66.3,72,110,115,120,120,62.5,67.5,-70,67.5,135,142.5,147.5,147.5,335,5,F,0-22.5,Raw,SBD
Chloe Bartum,EM,F-J-U,71,72,117.5,125,132.5,132.5,60,65,70,70,125,135,140,140,342.5,4,F,0-22.5,Raw,SBD
Sheri Miles,SE,F-O-U,71.7,72,142.5,152.5,155,155,87.5,90,-95,90,185,200,205,205,450,1,F,23.5-38.5,Raw,SBD
Emily Greenway,SW,F-O-U,71.3,72,165,172.5,-175,172.5,75,77.5,-80,77.5,170,182.5,-187.5,182.5,432.5,2,F,23.5-38.5,Raw,SBD
Sophie Culshaw,EM,F-O-U,71.1,72,165,170,172.5,172.5,80,82.5,85,85,157.5,165,172.5,172.5,430,3,F,23.5-38.5,Raw,SBD
Rosie Howard,YNE,F-O-U,71.5,72,130,137.5,142.5,142.5,75,80,-82.5,80,182.5,195,203,203,425.5,4,F,23.5-38.5,Raw,SBD
Rachel Bradish,YNE,F-O-U,70.4,72,145,-152.5,-152.5,145,-80,85,-90,85,170,180,185,185,415,5,F,23.5-38.5,Raw,SBD
Florence Walton,SE,F-O-U,70.2,72,152.5,-160,160,160,77.5,82.5,87.5,87.5,155,165,-170,165,412.5,6,F,23.5-38.5,Raw,SBD
Emily Williams,GL,F-O-U,71.4,72,147.5,157.5,-165,157.5,65,70,-75,70,150,162.5,-172.5,162.5,390,7,F,23.5-38.5,Raw,SBD
Abigail Simmons,SW,F-O-U,68.5,72,125,132.5,137.5,137.5,70,75,-80,75,150,160,167.5,167.5,380,8,F,23.5-38.5,Raw,SBD
Lucy Glover,GL,F-O-U,72,72,137.5,142.5,-145,142.5,80,82.5,-85,82.5,147.5,152.5,-160,152.5,377.5,9,F,23.5-38.5,Raw,SBD
Lianne Brook,WM,F-O-U,69.8,72,122.5,130,135,135,67.5,72.5,75,75,142.5,145,157.5,157.5,367.5,10,F,23.5-38.5,Raw,SBD
Bea Wright,SW,F-O-U,67.5,72,120,-125,-127.5,120,72.5,-75,75,75,142.5,147.5,-152.5,147.5,342.5,11,F,23.5-38.5,Raw,SBD
Kenlyn Stewart,GL,F-O-U,72,72,112.5,117.5,122.5,122.5,60,65,-67.5,65,140,-150,150,150,337.5,12,F,23.5-38.5,Raw,SBD
Shannon Rigler,SM,F-O-U,68.5,72,112.5,-117.5,-117.5,112.5,57.5,-62.5,-62.5,57.5,140,147.5,155,155,325,14,F,23.5-38.5,Raw,SBD
Amy-Rose Deffley,WM,F-O-U,71.2,72,120,-125,125,125,-55,57.5,60,60,145,-160,-160,145,330,13,F,23.5-38.5,Raw,SBD
Rachael Atkinson,YNE,F-O-U,67.3,72,85,-95,-102.5,85,65,70,72.5,72.5,127.5,142.5,150,150,307.5,16,F,23.5-38.5,Raw,SBD
Samantha Cadman,YNE,F-O-U,71.3,72,-95,95,100,100,65,70,-75,70,130,140,-145,140,310,15,F,23.5-38.5,Raw,SBD
Lottie Hall,EM,F-O-U,71.4,72,115,-122.5,-122.5,115,52.5,57.5,-60,57.5,127.5,-132.5,-132.5,127.5,300,17,F,23.5-38.5,Raw,SBD
Maudie Fraser,GL,F-O-U,63.3,72,-95,95,-100,95,55,-57.5,57.5,57.5,110,117.5,-120,117.5,270,18,F,23.5-38.5,Raw,SBD
Emma Taylor,YNE,F-M1-U,70.7,72,-115,120,130,130,65,-67.5,67.5,67.5,160,170,-175,170,367.5,1,F,39.5-48.5,Raw,SBD
Nicola Gregan,SE,F-M1-U,71.3,72,-110,110,117.5,117.5,70,-72.5,-72.5,70,125,132.5,-140,132.5,320,2,F,39.5-48.5,Raw,SBD
Ajanta Hilton,EM,F-M1-U,71,72,110,-117.5,120,120,57.5,60,-62.5,60,127.5,132.5,-140,132.5,312.5,3,F,39.5-48.5,Raw,SBD
Nicola Harding,EM,F-M1-U,71.1,72,110,117.5,-120,117.5,57.5,60,65,65,120,125,-130,125,307.5,4,F,39.5-48.5,Raw,SBD
Paula Gentle,EM,F-M1-U,66.7,72,105,110,-115,110,52.5,55,-57.5,55,130,140,-145,140,305,5,F,39.5-48.5,Raw,SBD
Bev Carder,SM,F-M1-U,70.5,72,90,97.5,102.5,102.5,50,55,-60,55,115,122.5,125,125,282.5,6,F,39.5-48.5,Raw,SBD
Rita Shergold,SM,F-M2-U,68.2,72,95,-105,105,105,65,70,-72.5,70,100,110,120,120,295,1,F,49.5-58.5,Raw,SBD
Caroline Calver,EM,F-M3-U,71,72,85,92.5,-97.5,92.5,42.5,47.5,-50,47.5,115,120,125,125,265,1,F,59.5-68.5,Raw,SBD
Drew Fackrell,SW,F-J-U,82.8,84,147.5,155,160,160,72.5,77.5,-80,77.5,155,-165,-165,155,392.5,1,F,0-22.5,Raw,SBD
Olivia Bullis,SE,F-J-U,80.5,84,110,117.5,125,125,62.5,67.5,70,70,160,170,175,175,370,2,F,0-22.5,Raw,SBD
Diana Eleuterio,GL,F-J-U,81.8,84,130,135,-140,135,65,-67.5,-67.5,65,142.5,152.5,160,160,360,3,F,0-22.5,Raw,SBD
Nicola Stimpson,SM,F-O-U,83.5,84,162.5,175,180,180,65,75,80,80,160,170,175,175,435,1,F,23.5-38.5,Raw,SBD
Sarah Corbett,YNE,F-O-U,74.8,84,130,-137.5,137.5,137.5,70,-75,-75,70,165,-175,-175,165,372.5,2,F,23.5-38.5,Raw,SBD
Susy Pyzer-Knapp,EM,F-O-U,81.7,84,130,137.5,142.5,142.5,62.5,67.5,-70,67.5,160,-170,-170,160,370,3,F,23.5-38.5,Raw,SBD
Mariam Mahmoud,GL,F-O-U,80.3,84,120,130,132.5,132.5,-67.5,70,72.5,72.5,140,152.5,155,155,360,4,F,23.5-38.5,Raw,SBD
Maria Papadelli,GL,F-O-U,75.2,84,102.5,110,115,115,55,60,-62.5,60,127.5,135,142.5,142.5,317.5,5,F,23.5-38.5,Raw,SBD
Matilda Curtis,GL,F-O-U,81.6,84,-120,120,-127.5,120,52.5,55,-57.5,55,137.5,-147.5,-147.5,137.5,312.5,6,F,23.5-38.5,Raw,SBD
Becky Hill,EM,F-O-U,81.7,84,-115,115,120,120,-52.5,55,-57.5,55,125,130,135,135,310,7,F,23.5-38.5,Raw,SBD
Lucy Hyde,SE,F-M1-U,82,84,110,117.5,122.5,122.5,82.5,-87.5,-87.5,82.5,140,150,155,155,360,1,F,39.5-48.5,Raw,SBD
Sarah Marsden,EM,F-M1-U,82.9,84,-122.5,125,132.5,132.5,67.5,72.5,-77.5,72.5,130,142.5,-152.5,142.5,347.5,2,F,39.5-48.5,Raw,SBD
Nicky Edgar,SE,F-M1-U,84,84,112.5,117.5,120,120,55,-60,-60,55,117.5,122.5,127.5,127.5,302.5,3,F,39.5-48.5,Raw,SBD
Georgina Hazell,EM,F-M2-U,82.1,84,-110,-110,110,110,70,77.5,82.5,82.5,155,162.5,-167.5,162.5,355,1,F,49.5-58.5,Raw,SBD
Abi Lane,SW,F-SJ-U,115.7,84+,110,-120,120,120,62.5,-67.5,-67.5,62.5,145,157.5,0,157.5,340,1,F,0-17.5,Raw,SBD
Charlie Chester,SW,F-J-U,111.6,84+,172.5,185,-202.5,185,97.5,105,107.5,107.5,177.5,192.5,0,192.5,485,1,F,0-22.5,Raw,SBD
Kate Sweatman,WM,F-O-U,123.4,84+,170,182.5,190,190,85,92.5,-95,92.5,175,185,-190,185,467.5,1,F,23.5-38.5,Raw,SBD
Scarlett Sotiris,SM,F-O-U,94.4,84+,142.5,155,-162.5,155,75,-80,85,85,170,185,-200,185,425,2,F,23.5-38.5,Raw,SBD
Kimberley Kirkham,EM,F-O-U,107.7,84+,140,150,157.5,157.5,75,-80,-80,75,147.5,160,165,165,397.5,3,F,23.5-38.5,Raw,SBD
Anca Bica,WM,F-O-U,100.9,84+,142.5,-150,-155,142.5,-60,-67.5,67.5,67.5,155,165,175,175,385,4,F,23.5-38.5,Raw,SBD
Kelly Edwards,SM,F-O-U,143.4,84+,-135,-135,140,140,67.5,72.5,77.5,77.5,150,160,-170,160,377.5,5,F,23.5-38.5,Raw,SBD
Christina Judge,YNE,F-O-U,92.9,84+,105,110,115,115,45,47.5,50,50,125,135,-145,135,300,6,F,23.5-38.5,Raw,SBD
Siobhan Taylor,EM,F-M1-U,98.7,84+,140,147.5,-155,147.5,70,75,-80,75,155,165,177.5,177.5,400,1,F,39.5-48.5,Raw,SBD
Kelly Phasey,WM,F-M1-U,130.4,84+,140,152.5,-160,152.5,-90,92.5,-98,92.5,145,150,-157.5,150,395,2,F,39.5-48.5,Raw,SBD
Meg Robertson,EM,F-M1-U,93.6,84+,140,147.5,-152.5,147.5,-70,70,-75,70,160,170,-182.5,170,387.5,3,F,39.5-48.5,Raw,SBD
Lisa Pilkington,NW,F-M1-U,111.1,84+,110,-117.5,120,120,80,-90,-90,80,140,147.5,155,155,355,4,F,39.5-48.5,Raw,SBD
Tricia Owen-Williams,WM,F-M1-U,121.1,84+,105,115,-120,115,-52.5,57.5,60,60,140,152.5,160,160,335,5,F,39.5-48.5,Raw,SBD
Amanda McGovern,NW,F-M1-U,94.6,84+,-95,95,-107.5,95,60,65,-70,65,147.5,155,-160,155,315,6,F,39.5-48.5,Raw,SBD
Jill Bowers,EM,F-M2-U,87.3,84+,-85,85,-90,85,52.5,57.5,-62.5,57.5,90,100,110,110,252.5,1,F,49.5-58.5,Raw,SBD
Romina Basting,EM,F-O,52,52,132.5,137.5,140,140,72.5,-77.5,77.5,77.5,100,110,120,120,337.5,1,F,23.5-38.5,Single-ply,SBD
,,,,,,,,,,,,,,,,,,,,,Single-ply,SBD
Lucy Hart,SM,F-O,60.4,63,155,162.5,167.5,167.5,77.5,82.5,85,85,150,-160,160,160,412.5,1,F,23.5-38.5,Single-ply,SBD
Galit Goldshmid,SM,F-M1,61,63,142.5,-147.5,147.5,147.5,-90,90,-95,90,157.5,165,-170,165,402.5,1,F,39.5-48.5,Single-ply,SBD
,,,,,,,,,,,,,,,,,,,,,Single-ply,SBD
Ana Rojo-Echeburua,SE,F-O,68.8,72,-145,145,152.5,152.5,77.5,82.5,87.5,87.5,150,160,165,165,405,1,F,23.5-38.5,Single-ply,SBD
,,,,,,,,,,,,,,,,,,,,,Single-ply,SBD
Christie Civetta,EM,F-O,83.1,84,185,197.5,205,205,120,125,130,130,175,187.5,192.5,192.5,527.5,1,F,23.5-38.5,Single-ply,SBD
