WeightClassKg,JapaneseName,Team,Age,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,,Division,Event,Equipment
43,浜田　華澄,厚木商業高校,18,42.8,55,-70.5,-70.5,55,55,1,Sub-Juniors,B,Single-ply
47,福島　友佳子,パワーハウス,48,46.5,125,132.5,136,136,136,1,Open,B,Single-ply
47,宮本　智子,ヴィテンののいち,51,46.7,92.5,-97.5,97.5,97.5,97.5,1,Masters 2,B,Single-ply
47,新井　拡子,Ｋ'ｓＧＹＭ横浜,55,46.2,80,85,-92.5,85,85,2,Masters 2,B,Single-ply
47,滝沢　嘉惠,パワーハウス,61,44.5,70,-75,-75,70,70,1,Masters 3,B,Single-ply
47,奥村　正子,水戸市パワーリフティング協会,88,46.4,37.5,40,45,45,45,1,Masters 4,B,Single-ply
47,岡本　美樹,リアルスイング,53,,,,,,,NS,Masters 2,B,Single-ply
52,白川　カオリ,パワーハウス,55,51.8,-115,115,-120,115,115,1,Open,B,Single-ply
52,伊賀　梓,個人,33,51.35,95,105,110,110,110,2,Open,B,Single-ply
52,南　采沙,ＴＸＰ,25,51.65,95,102.5,107.5,107.5,107.5,3,Open,B,Single-ply
52,澤山　あおい,パワーハウス,20,50.35,80,87.5,92.5,92.5,92.5,1,Juniors,B,Single-ply
52,寺村　美香,江別パワーリフティング協会,56,51.35,85,90,-97.5,90,90,4,Masters 2,B,Single-ply
52,堀　友貴子,Ｐｏｗｅｒ　Ｌｉｎｅ,30,49.8,-77.5,-77.5,77.5,77.5,77.5,5,Open,B,Single-ply
52,原田　恵,ノーリミッツ,58,49.4,65,70,75,75,75,2,Masters 2,B,Single-ply
52,柴田　昌美,ストロングライン,53,50.35,70,75,-77.5,75,75,3,Masters 2,B,Single-ply
52,大澤　幸子,ストロングライン,62,49.4,65,-70,-78,65,65,1,Masters 3,B,Single-ply
52,伊藤　由実子,Ｋ'ｓＧＹＭ,42,51.25,55,65,-80,65,65,6,Masters 1,B,Single-ply
52,古川　芳子,Ｋ'ｓＧＹＭ横浜,79,51.75,30,35,37.5,37.5,37.5,1,Masters 4,B,Single-ply
52,藤原　のどか,明石ベンチプレス同好会,26,,,,,,,NS,Open,B,Single-ply
57,南　恵美,MSM,31,55.9,-117.5,117.5,-127.5,117.5,117.5,1,Open,B,Single-ply
57,酒巻　知子,ストロングライン,53,55.3,95,105,-117.5,105,105,2,Masters 2,B,Single-ply
57,小林　展代,ＴＸＰ,21,56.3,95,97.5,100,100,100,1,Juniors,B,Single-ply
57,櫻　由貴,個人,23,56.25,85,-95,97.5,97.5,97.5,2,Juniors,B,Single-ply
57,長谷川　真紀,パワーハウス,53,55.25,87.5,92.5,-97.5,92.5,92.5,3,Masters 2,B,Single-ply
57,森塚　久美,パワーフィットネス,43,52.75,-85,85,90,90,90,1,Masters 1,B,Single-ply
57,長尾　優子,ストロングライン,68,55.7,70,75,83,83,83,1,Masters 3,B,Single-ply
57,中沢　久美子,中徳米穀,70,54.4,40,63,65,65,65,2,Masters 4,B,Single-ply
57,小泉　あさひ,厚木商業高校,18,56.1,50,57.5,-62.5,57.5,57.5,1,Sub-Juniors,B,Single-ply
63,石橋　茜,ストロングライン,25,59.85,120,130,-140,130,130,1,Open,B,Single-ply
63,奥谷　由香,Ｋ'ｓＧＹＭ,34,62.35,-125,125,-132.5,125,125,2,Open,B,Single-ply
63,山下　彩,Ｋ'ｓＧＹＭ,32,61.25,110,122.5,-132.5,122.5,122.5,3,Open,B,Single-ply
63,工藤　智恵子,マッスルプロダクション,51,61.25,90,95,-100,95,95,1,Masters 2,B,Single-ply
63,林　久子,雷神ファクトリー,67,61.25,80,85,-92.5,85,85,1,Masters 3,B,Single-ply
63,篠原　千絵,ストロングライン,48,61.6,70,75,80,80,80,1,Masters 1,B,Single-ply
63,柳沢　由紀子,Ｋ'ｓＧＹＭ横浜,51,57.05,60,65,70,70,70,2,Masters 2,B,Single-ply
63,古味　良子,Ｔ－ＲＥＸ,63,62.55,-107.5,-107.5,-107.5,,,DQ,Open,B,Single-ply
72,照屋　利恵,ＰＯＷＥＲ ＳＰＯＲＴ,43,69.2,115,125,127.5,127.5,127.5,1,Masters 1,B,Single-ply
72,櫻井　美幸,ＢＩＧ ＧＵＮＳ,49,71.3,117.5,-127.5,-130,117.5,117.5,2,Masters 1,B,Single-ply
72,池田　光咲,神奈川大学,19,68.8,100,-115,-117.5,100,100,3,Juniors,B,Single-ply
72,鍋倉　由美子,Ｋ'ｓＧＹＭ横浜,56,66.45,62.5,67.5,-70,67.5,67.5,1,Masters 2,B,Single-ply
84,溝口　久美,Ｋ'ｓＧＹＭ横浜,30,74.25,145,-150,-178,145,145,1,Open,B,Single-ply
84,徳武　恵美,ＴＸＰ,54,75.75,120,-125,127.5,127.5,127.5,1,Masters 2,B,Single-ply
84,澤　千代美,パワーハウス,69,75.3,107.5,115,125,125,125,2,Masters 3,B,Single-ply
84+,小松　麻実,有光自動車,49,107.8,105,115,-127.5,115,115,1,Masters 1,B,Single-ply
84+,東前　めぐみ,Ｋ'ｓＧＹＭ,35,85.4,87.5,95,-115,95,95,2,Open,B,Single-ply
59,野田　俊彦,パワーハウス,39,58.65,207.5,212.5,-215,212.5,212.5,1,Open,B,Single-ply
59,村田　元輝,Ｋ'ｓＧＹＭ横浜,21,58.4,-190,190,-212.5,190,190,2,Juniors,B,Single-ply
59,山根　修平,Ｋ'ｓＧＹＭ横浜,40,58.2,-180,180,-190,180,180,3,Masters 1,B,Single-ply
59,中田　和夫,Ｋ'ｓＧＹＭ,51,58.35,180,-190,-190,180,180,4,Masters 2,B,Single-ply
59,田村　陽,厚木商業高校,19,58.25,-170,-170,170,170,170,2,Juniors,B,Single-ply
59,大石　昌宏,リアルスイング,39,58.8,150,-160,160,160,160,5,Open,B,Single-ply
59,伊差川　浩之,ＰＯＷＥＲ ＳＰＯＲＴ,65,57.9,150,155,157.5,157.5,157.5,1,Masters 3,B,Single-ply
59,白石　匡,Ｋ'ｓＧＹＭ,38,58.2,-145,-150,150,150,150,6,Open,B,Single-ply
59,吉本　大秀,Ｋ'ｓＧＹＭ,45,58.65,140,150,-152.5,150,150,2,Masters 1,B,Single-ply
59,吉野　公二,個人,49,58.35,135,145,-152.5,145,145,7,Masters 1,B,Single-ply
59,田中　祐一郎,個人,50,57.95,137.5,140,142.5,142.5,142.5,2,Masters 2,B,Single-ply
59,椎木　智良,ストロングライン,54,58.9,125,-135,142.5,142.5,142.5,3,Masters 2,B,Single-ply
59,浜山　久雄,新日鉄住金名古屋ＢＣ,71,57.95,-125,-125,125,125,125,1,Masters 4,B,Single-ply
59,橋本　雅人,ショウワ パワークラブ,61,58.65,115,117.5,-120,117.5,117.5,2,Masters 3,B,Single-ply
59,飯塚　進市,水戸市パワーリフティング協会,62,58.6,110,-115,-117.5,110,110,3,Masters 3,B,Single-ply
59,大瀧　順巳,スーパークラブ名古屋,76,54.05,75,80,-85,80,80,2,Masters 4,B,Single-ply
59,池田　尚也,個人,48,58,-175,-175,-175,,,DQ,Masters 1,B,Single-ply
59,木村　育史,Ｋ'ｓＧＹＭ,43,58.8,-212.5,-215,-215,,,DQ,Masters 1,B,Single-ply
66,福田　将志,ストロングライン,34,65.7,232.5,237.5,-248.5,237.5,237.5,1,Open,B,Single-ply
66,水野　瑛,Ｋ'ｓＧＹＭ横浜,26,64.05,220,232.5,-237.5,232.5,232.5,2,Open,B,Single-ply
66,亀谷　充男,瀬野川トレーニングクラブ,47,65.75,-210,210,-237.5,210,210,3,Masters 1,B,Single-ply
66,中山　久幸,ノーリミッツ,55,63.65,205,-210,-210,205,205,4,Open,B,Single-ply
66,天川　哲範,ＥＳＱＵＡＴＩＲ,41,65.2,170,180,190,190,190,2,Masters 1,B,Single-ply
66,芦崎　高志,チーム度肝,47,65.5,180,185,190,190,190,5,Masters 1,B,Single-ply
66,田中　勝之,Ｋ'ｓＧＹＭ横浜,38,65.4,165,175,185,185,185,6,Open,B,Single-ply
66,土田　真臣,Ｋ'ｓＧＹＭ,22,65.2,172.5,180,-200,180,180,1,Juniors,B,Single-ply
66,矢野　秀幸,ＹＡＮＯ ＰＯＷＥＲ ＧＹＭ,59,65.1,170,175,-180,175,175,1,Masters 2,B,Single-ply
66,石川　拓也,パワーハウス,39,65.15,-175,175,-185,175,175,7,Open,B,Single-ply
66,九野　毅,ＰＥＡＣＥ ＧＹＭ,50,65.65,-175,175,-182.5,175,175,2,Masters 2,B,Single-ply
66,鈴木　武虎,ストロングライン,19,65.5,165,-172.5,-182.5,165,165,2,Juniors,B,Single-ply
66,岩本　誠一郎,パワーハウス,50,65.6,155,162.5,-177.5,162.5,162.5,3,Masters 2,B,Single-ply
66,田本　廉,Ｋ'ｓＧＹＭ横浜,20,65.1,160,-172.5,-180,160,160,3,Juniors,B,Single-ply
66,西尾　純,ノーリミッツ,41,65.3,140,147.5,160,160,160,8,Open,B,Single-ply
66,上野　辰彦,個人,42,64.85,142.5,150,-157.5,150,150,4,Masters 1,B,Single-ply
66,佐藤　恵二,京都パワーリフティングクラブ,66,66,120,140,150,150,150,1,Masters 3,B,Single-ply
66,石川　貴康,Ｋ'ｓＧＹＭ,44,65.45,132.5,147.5,-152.5,147.5,147.5,5,Masters 1,B,Single-ply
66,李　炳八,水戸市パワーリフティング協会,60,65.5,135,137.5,142.5,142.5,142.5,2,Masters 3,B,Single-ply
66,中村　英明,個人,58,65.8,125,132.5,137.5,137.5,137.5,4,Masters 2,B,Single-ply
66,加藤　元,Ｐｏｗｅｒ Ｌｉｎｅ,53,63.65,127.5,130,135,135,135,5,Masters 2,B,Single-ply
66,段安　忠信,個人,74,63.85,130,-140,-145,130,130,1,Masters 4,B,Single-ply
66,関根　隆信,ストロングライン,63,65.3,125,127.5,-132.5,127.5,127.5,3,Masters 3,B,Single-ply
66,菅谷　道夫,個人,71,64.45,122.5,125,-130,125,125,2,Masters 4,B,Single-ply
66,善本　光彦,フジモトジム,53,65.8,117.5,125,-130,125,125,6,Masters 2,B,Single-ply
66,佃　忠和,Ｋ'ｓＧＹＭ横浜,74,64.9,-112.5,-112.5,112.5,112.5,112.5,3,Masters 4,B,Single-ply
66,松野　翼,Ｋ'ｓＧＹＭ,34,64.35,-140,-140,-140,,,,Open,B,Single-ply
74,児玉　大紀,Ｋ'ｓＧＹＭ,39,72.85,245,255,265,265,265,1,Open,B,Single-ply
74,菊地　洋介,Ｋ'ｓＧＹＭ横浜,23,72.9,225,235,-257.5,235,235,2,Juniors,B,Single-ply
74,奥谷　元哉,Ｋ'ｓＧＹＭ,38,73.65,-220,-220,220,220,220,3,Open,B,Single-ply
74,濱田　展行,個人,49,73.4,210,-222.5,-222.5,210,210,4,Masters 1,B,Single-ply
74,三島　忠,Ｋ'ｓＧＹＭ,56,73.4,-210,-210,210,210,210,1,Masters 2,B,Single-ply
74,松岡　良昭,Ｋ'ｓＧＹＭ横浜,35,73.65,210,-222.5,-222.5,210,210,5,Open,B,Single-ply
74,松岡　紀佳,Ｋ'ｓＧＹＭ横浜,47,73.9,185,-187.5,187.5,187.5,187.5,6,Masters 1,B,Single-ply
74,吉岡　秀明,個人,34,73.95,-187.5,-187.5,187.5,187.5,187.5,7,Open,B,Single-ply
74,千田　和義,マッスルプロダクション石川,48,73.85,-180,185,-190,185,185,3,Masters 1,B,Single-ply
74,荒巻　勇人,Ｋ'ｓＧＹＭ横浜,40,73.85,-165,165,182.5,182.5,182.5,4,Masters 1,B,Single-ply
74,広永　賢司,Ｋ'ｓＧＹＭ,34,71.9,180,-190,-190,180,180,8,Open,B,Single-ply
74,武田　大輔,ＢＩＧ ＧＵＮＳ,42,73.05,180,-185,-185,180,180,5,Masters 1,B,Single-ply
74,岸　剛士,GOLD'S GYM KOBE,36,73.75,170,180,-190,180,180,9,Open,B,Single-ply
74,桑原　勉,パワーハウス,53,73.2,155,160,165,165,165,2,Masters 2,B,Single-ply
74,山本　茂樹,越谷市民プールトレーニングジム,75,72.75,152.5,160,-170.5,160,160,1,Masters 4,B,Single-ply
74,内村　政夫,ＢＩＧ ＧＵＮＳ,59,73.1,145,155,-162.5,155,155,3,Masters 2,B,Single-ply
74,佐藤　一夫,パワーハウス,57,72,130,135,140,140,140,4,Masters 2,B,Single-ply
74,鈴木　博達,パワーハウス,44,73.85,125,137.5,-145,137.5,137.5,6,Masters 1,B,Single-ply
74,照井　清,個人,77,68.75,95,100,-102.5,100,100,2,Masters 4,B,Single-ply
74,藤田　俊夫,和歌山県パワーリフティング協会,83,73.35,90,-100,-100,90,90,3,Masters 4,B,Single-ply
74,物江　毅,Team Ponze,66,73.25,-140,-140,-140,,,DQ,Masters 3,B,Single-ply
74,林　靖弘,マッスルプロダクション石川,62,73.65,-170,-170,-170,,,DQ,Masters 3,B,Single-ply
74,井上　和明,Ｋ'ｓＧＹＭ,46,,,,,,,NS,Masters 1,B,Single-ply
83,大室　豪槻,Ｋ'ｓＧＹＭ,25,81.95,290,-295,-312.5,290,290,1,Open,B,Single-ply
83,村野　知永,Ｋ'ｓＧＹＭ,24,80.85,220,250,-290,250,250,2,Open,B,Single-ply
83,鈴木　重成,Ｋ'ｓＧＹＭ横浜,45,82.8,-230,230,-247.5,230,230,3,Masters 1,B,Single-ply
83,三輪　景吾,東名アスレチック,37,82.65,220,-232.5,-232.5,220,220,4,Open,B,Single-ply
83,田中　薫,マッスルプロダクション石川,61,82.4,190,205,211,211,211,1,Masters 3,B,Single-ply
83,藤原　英司,Actor,50,82.45,190,200,210,210,210,1,Masters 2,B,Single-ply
83,松岡　俊男,スーパーパワーアサマトレーニングクラブ,55,79.95,-200,200,207.5,207.5,207.5,2,Masters 2,B,Single-ply
83,石崎　竜海,個人,21,81.5,180,200,-220,200,200,1,Juniors,B,Single-ply
83,上月　敦雄,ＴＸＰ,57,80.35,190,-202.5,-202.5,190,190,3,Masters 2,B,Single-ply
83,荒木　幸輔,Ｋ'ｓＧＹＭ横浜,36,82.85,-185,185,-202.5,185,185,5,Open,B,Single-ply
83,高橋　秀輔,パワーハウス,41,82.25,-175,-175,175,175,175,2,Masters 1,B,Single-ply
83,長門　由輝,Ｐｏｗｅｒ Ｌｉｎｅ,25,82.5,172.5,-180,-185,172.5,172.5,6,Open,B,Single-ply
83,酒井　豊,ノーリミッツ,41,83,160,172.5,-177.5,172.5,172.5,7,Masters 1,B,Single-ply
83,山下　卓也,Ｋ'ｓＧＹＭ,50,81.9,160,170,-182.5,170,170,4,Masters 2,B,Single-ply
83,馬倉　実,スリムパワージム,52,82.25,155,-160,160,160,160,5,Masters 2,B,Single-ply
83,小倉　正樹,ビックタートル深谷,52,80.9,145,-155,155,155,155,6,Masters 2,B,Single-ply
83,岡田　賢治,パワーハウス山口,48,82,-145,145,-155,145,145,4,Masters 1,B,Single-ply
83,中橋　浩隆,ｔｅａｍ力姫石川,58,82.4,140,-150,-150,140,140,7,Masters 2,B,Single-ply
83,酒井　知隆,ノーリミッツ,61,83,-135,135,-140,135,135,2,Masters 3,B,Single-ply
83,藤本　章夫,フジモトジム,69,78.45,130,-132.5,-132.5,130,130,3,Masters 3,B,Single-ply
83,今泉　春樹,個人,71,81.05,-80,-90,100,100,100,1,Masters 4,B,Single-ply
83,安江　宏昭,ＰＥＡＣＥ ＧＹＭ,49,81,-155,-155,-155,,,DQ,Masters 1,B,Single-ply
83,伊藤　順三,個人,64,81.05,-167.5,-167.5,-167.5,,,DQ,Masters 3,B,Single-ply
83,安江　三千夫,ＴＨＥ ＳＴＯＲＯＮＧＥＳＴ ＷＡＲＲＩＯＲＳ,48,82.2,-255,-255,-255,,,DQ,Masters 1,B,Single-ply
83,福島　勇輝,Ｆ.Ｔ.ＧＹＭ,32,82.5,-295,-295,-295,,,DQ,Open,B,Single-ply
83,柳川　龍大,厚木商業高校,18,82.6,-130,-130,-130,,,DQ,Sub-Juniors,B,Single-ply
83,当麻　泰久,スーパーパワーアサマトレーニングクラブ,62,,,,,,,NS,Masters 3,B,Single-ply
93,長谷川　直輝,Ｋ'ｓＧＹＭ横浜,26,92.1,302.5,-305,311,311,311,1,Open,B,Single-ply
93,吉川　望,Ｋ'ｓＧＹＭ,32,91.15,280,-302.5,-302.5,280,280,2,Open,B,Single-ply
93,宮本　崇行,Ｋ'ｓＧＹＭ,45,90.2,240,245,-252.5,245,245,3,Masters 1,B,Single-ply
93,松井　竜一,Ｐｏｗｅｒ Ｌｉｎｅ,42,92.2,230,-235,-247.5,230,230,4,Masters 1,B,Single-ply
93,北川　武志,Ｋ'ｓＧＹＭ,60,87.9,205,-210,-210,205,205,1,Masters 3,B,Single-ply
93,飯島　修,パワーハウス,64,87.9,-200,200,-207.5,200,200,2,Masters 3,B,Single-ply
93,飴谷　繁章,Ｋ'ｓＧＹＭ,51,92.65,-200,-200,200,200,200,5,Masters 2,B,Single-ply
93,村中　悟,高岡ＴＣ,54,92.05,-192.5,-192.5,192.5,192.5,192.5,2,Masters 2,B,Single-ply
93,安楽　友宏,Ｉ.Ｗ.ＧＧ,62,87.8,180,190,-205,190,190,3,Masters 3,B,Single-ply
93,秋庭　和幸,川西バーベル協会,51,91.4,180,185,-187.5,185,185,3,Masters 2,B,Single-ply
93,堀内　健司,パワーハウス,42,92.3,177.5,-185,-185,177.5,177.5,6,Masters 1,B,Single-ply
93,梅澤　丈二,厚木商業高校,17,85.8,140,-150,-150,140,140,1,Sub-Juniors,B,Single-ply
93,新屋敷　弘明,パワーハウス,52,85.2,-195,-195,-195,,,DQ,Masters 2,B,Single-ply
93,林　克也,Ｋ'ｓＧＹＭ,31,86.7,-260,-260,-260,,,DQ,Open,B,Single-ply
93,竹村　明久,Ｋ'ｓＧＹＭ横浜,45,91,-215,-215,-215,,,DQ,Masters 1,B,Single-ply
93,梁本　智弘,Ｋ'ｓＧＹＭ,32,92.25,-252.5,-252.5,-252.5,,,DQ,Open,B,Single-ply
93,小笠　剛志,パワーハウス赤穂,44,92.7,-195,-200,-202.5,,,DQ,Masters 1,B,Single-ply
93,橋本　真,明石ベンチプレス同好会,43,,,,,,,NS,Masters 1,B,Single-ply
105,山下　保樹,Ｋ'ｓＧＹＭ,27,101.9,285,300,312.5,312.5,312.5,1,Open,B,Single-ply
105,葛西　昌彦,Ｋ'ｓＧＹＭ,47,103.75,-300,312.5,-317,312.5,312.5,2,Masters 1,B,Single-ply
105,佐藤　優輝,Ｋ'ｓＧＹＭ横浜,35,95.2,310,-316.5,-316.5,310,310,3,Open,B,Single-ply
105,橋本　到,ノーリミッツ,29,104.75,270,-277.5,282.5,282.5,282.5,4,Open,B,Single-ply
105,堀口　耀介,ＴＸＰ,25,99.7,265,280,-300,280,280,5,Open,B,Single-ply
105,阿久津　貴史,ＴＸＰ,36,101.2,265,277.5,-282.5,277.5,277.5,6,Open,B,Single-ply
105,柴田　道郎,ｔｅａｍ力姫石川,35,104.85,265,-287.5,-287.5,265,265,7,Open,B,Single-ply
105,伊藤　壮志,北海学園大学パワーリフティング部,23,102.5,250,-270,-270,250,250,8,Juniors,B,Single-ply
105,今村　俊博,プレスタ,45,102.8,220,-230,-230,220,220,9,Open,B,Single-ply
105,杉本　洋介,パワーハウス,24,104.15,200,-210,210,210,210,10,Open,B,Single-ply
105,小川　光寿,西部組,47,96.8,195,205,-227.5,205,205,2,Masters 1,B,Single-ply
105,中山　素彦,パワーハウス長野,41,103.85,185,-190,-197.5,185,185,3,Masters 1,B,Single-ply
105,寺田　万寿夫,マッスルアンドビューティ,55,104.25,160,170,-180,170,170,1,Masters 2,B,Single-ply
105,長島　義孝,京都パワーリフティングクラブ,74,97.2,115,117.5,148,148,148,1,Masters 4,B,Single-ply
120,和田　髙平,Ｋ'ｓＧＹＭ,54,118.55,305,312.5,-325,312.5,312.5,1,Masters 2,B,Single-ply
120,武田　裕介,ＴＸＰ,33,106.95,-280,280,-300,280,280,2,Open,B,Single-ply
120,原　新一,Ｐｏｗｅｒ Ｌｉｎｅ,45,114.9,275,-282.5,-282.5,275,275,3,Masters 1,B,Single-ply
120,加瀬　智,Ｋ'ｓＧＹＭ横浜,27,116.1,255,270,-282.5,270,270,4,Open,B,Single-ply
120,山森　智行,Ｋ'ｓＧＹＭ,46,105.6,250,-260,-275,250,250,2,Masters 1,B,Single-ply
120,川野　智成,パワーハウス山口,38,116.8,240,250,-260,250,250,5,Open,B,Single-ply
120,齋藤　大生,ストロングライン,28,119.55,250,-270,-282.5,250,250,6,Open,B,Single-ply
120,柏木　悠太郎,ストロングライン,21,117.9,220,245.5,-260,245.5,245.5,1,Juniors,B,Single-ply
120,中村　敏雄,ＴＸＰ,48,114.55,225,-242.5,242.5,242.5,242.5,3,Masters 1,B,Single-ply
120,横山　恭平,Ｋ'ｓＧＹＭ,24,111.65,240,-255,-255,240,240,7,Open,B,Single-ply
120,岡山　三紀,北海道医療大学Ｗ･Ｔ･Ｃ同門会,46,107.9,232.5,237.5,-242.5,237.5,237.5,8,Masters 1,B,Single-ply
120,森　真人,ＢＩＧ ＧＵＮＳ,37,111.3,-190,-190,-190,,,DQ,Open,B,Single-ply
120,梶井　俊宏,阪南大学ＯＢ会ウェイトトレーニング部,38,115.15,-320,-320,-325,,,DQ,Open,B,Single-ply
120,西古　裕志,Ｐｏｗｅｒ Ｌｉｎｅ,46,115.2,-225,-225,-225,,,DQ,Masters 1,B,Single-ply
120,上田　真司,Ｋ'ｓＧＹＭ,46,,,,,,,NS,Masters 1,B,Single-ply
120+,藤本　竜希,リアルスイング,18,126.4,180,270,-352.5,270,270,1,Sub-Juniors,B,Single-ply
120+,古城　資久,パワーハウス赤穂,60,127.1,205,245.5,-265.5,245.5,245.5,1,Masters 3,B,Single-ply
120+,樋口　重敏,チーム筋族,41,136.1,205,-250,-272.5,205,205,2,Masters 1,B,Single-ply
120+,柳川　大貴,リアルスイング,42,130.55,-340,-340,-350,,,DQ,Masters 1,B,Single-ply
120+,福嶋　康人,パワーハウス７山口,53,,,,,,,NS,Masters 2,B,Single-ply
