Place,Name,BodyweightKg,Bench1Kg,Bench2Kg,Bench3Kg,Best3BenchKg,TotalKg,WeightClassKg,Division,Event,Sex,Equipment
43.95,Open,Iante van Belzen,58.0,60.5,62.0,62.0,62.0,47,1,SBD,F,Raw
46.95,Open,Megan Garnier,42.5,45.0,47.5,47.5,47.5,47,2,SBD,F,Raw
50.34,Masters 1,Carolien Schouten,42.5,45.0,-47.5,45.0,45.0,52,1,SBD,F,Raw
56.8,Open,Evita Talahatu,85.0,90.0,-92.5,90.0,90.0,57,1,SBD,F,Raw
61.6,Open,Iris Scholten,80.0,82.5,85.0,85.0,85.0,63,1,SBD,F,Raw
61.7,Open,Kelsey Koffijberg,67.5,70.0,72.5,72.5,72.5,63,2,SBD,F,Raw
62.6,Masters 1,Natasja Martis,-72.5,72.5,-77.5,72.5,72.5,63,3,SBD,F,Raw
68.5,Open,Yvonne Kortsmit,77.5,82.5,-85.0,82.5,82.5,72,1,SBD,F,Raw
70.9,Open,Miranda van de Pol,80.0,-82.5,-82.5,80.0,80.0,72,2,SBD,F,Raw
71.2,Open,Trudy Peters,65.0,-70.0,-70.0,65.0,65.0,72,3,SBD,F,Raw
71,Open,Loes Huijskens,57.5,62.5,-65.0,62.5,62.5,72,4,SBD,F,Raw
68.2,Juniors,Elise Blankers,52.5,57.5,60.0,60.0,60.0,72,5,SBD,F,Raw
69.75,Juniors,Rosan Diks,50.0,55.0,-60.0,55.0,55.0,72,6,SBD,F,Raw
83.4,Masters 1,Ielja Strik,127.5,132.5,137.5,137.5,137.5,84,1,SBD,F,Raw
75.7,Open,Ankie Timmers,112.5,117.5,120.0,120.0,120.0,84,2,SBD,F,Raw
83.4,Juniors,Isabelle Feteris,105.0,-110.0,-110.0,105.0,105.0,84,3,SBD,F,Raw
76.5,Masters 2,Hennie van 't Loo,72.5,77.5,80.0,80.0,80.0,84,4,SBD,F,Raw
78.7,Masters 1,Kim Hoetjes-Mulders,75.0,77.5,-80.0,77.5,77.5,84,5,SBD,F,Raw
88.5,Open,Juliet Brokken,92.5,-97.5,-100.0,92.5,92.5,84+,1,SBD,F,Raw
65.6,Juniors,Ishvar Lalbahadoersing,90.0,100.5,-102.5,100.5,100.5,66,1,SBD,M,Raw
65.2,Open,Nicolas van de Griendt,50.0,60.0,-75.0,60.0,60.0,66,2,SBD,M,Raw
73.2,Open,Michael Liefhebber,120.0,125.0,130.0,130.0,130.0,74,1,SBD,M,Raw
70.6,Open,Hamza Bouamrani,120.0,125.0,-130.0,125.0,125.0,74,2,SBD,M,Raw
73.4,Masters 2,Ben Epe,102.5,107.5,-112.5,107.5,107.5,74,3,SBD,M,Raw
68.3,Masters 2,Jan van Waardenburg,95.0,-100.0,-100.0,95.0,95.0,74,4,SBD,M,Raw
73.1,Open,Wilbert van de Westerlo,-120.0,-125.0,-125.0,,,74,DQ,SBD,M,Raw
79.99,Open,Jeffrey Hasselt,160.0,167.5,175.0,175.0,175.0,83,1,SBD,M,Raw
82.72,Open,William van der Struis,145.0,152.5,160.0,160.0,160.0,83,2,SBD,M,Raw
81.76,Open,Odin Overeem,140.0,-142.5,-142.5,140.0,140.0,83,3,SBD,M,Raw
82,Juniors,Lorenzo van der Loo,140.0,-145.0,-150.0,140.0,140.0,83,4,SBD,M,Raw
82.05,Open,Art Asrian,137.5,-142.5,-142.5,137.5,137.5,83,5,SBD,M,Raw
81.63,Open,Neil Commandeur,122.5,127.5,-132.5,127.5,127.5,83,6,SBD,M,Raw
88.94,Open,Marijn Abrahamse,135.0,142.5,150.0,150.0,150.0,93,1,SBD,M,Raw
83.3,Juniors,Sandor Krafft,132.5,137.5,142.5,142.5,142.5,93,2,SBD,M,Raw
85.8,Open,Dennis Kamps,135.0,-140.0,142.5,142.5,142.5,93,3,SBD,M,Raw
92,Open,Tom Kluijtmans,130.0,135.0,140.0,140.0,140.0,93,4,SBD,M,Raw
84.65,Juniors,Thijs Kortekaas,120.0,122.5,127.5,127.5,127.5,93,5,SBD,M,Raw
91.33,Sub-Juniors,Florian Steeneke,117.5,122.5,127.5,127.5,127.5,93,6,SBD,M,Raw
92.49,Open,Guus Alberts,120.0,127.5,-130.0,127.5,127.5,93,7,SBD,M,Raw
90.64,Open,Elmer van Oosterhout,120.0,-125.0,125.0,125.0,125.0,93,8,SBD,M,Raw
89.99,Open,Daniel Talahatu,110.0,115.0,120.0,120.0,120.0,93,9,SBD,M,Raw
91.31, Masters 3,Pier Wierda,110.0,120.0,-125.0,120.0,120.0,93,10,SBD,M,Raw
84.71,Juniors,Kenley Simons,105.0,112.5,-120.0,112.5,112.5,93,11,SBD,M,Raw
84.3,Sub-Juniors,Lex Klinckenberg,105.0,-115.0,-115.0,105.0,105.0,93,12,SBD,M,Raw
96.49,Masters 3,Elbert Vastenburg,170.0,175.0,182.5,182.5,182.5,105,1,SBD,M,Raw
103.55,Open,Jelle Dames,172.5,177.5,182.5,182.5,182.5,105,2,SBD,M,Raw
99.64,Masters 2,Frans van der Putten,180.0,-190.0,,180.0,180.0,105,3,SBD,M,Raw
102.54,Masters 3,Mariusz Vermeulen,150.0,155.0,,155.0,155.0,105,4,SBD,M,Raw
100.9,Open,Francisco Galarce Morales,150.0,-160.0,-160.0,150.0,150.0,105,5,SBD,M,Raw
102.26,Open,Bastiaan Mulder,147.5,-155.0,-155.0,147.5,147.5,105,6,SBD,M,Raw
102.84,Masters 2,Cor Regter,97.5,102.5,-105.0,102.5,102.5,105,7,SBD,M,Raw
117.51,Open,Younes van Ruth,200.0,210.0,-212.5,210.0,210.0,120,1,SBD,M,Raw
116.14,Masters 1,Huub Hetterschijt,170.0,175.0,180.0,180.0,180.0,120,2,SBD,M,Raw
115.42,Masters 1,Valentijn Hulshorst,160.0,165.0,170.0,170.0,170.0,120,3,SBD,M,Raw
109.28,Masters 3,Roel van Drogen,140.0,-147.5,147.5,147.5,147.5,120,4,SBD,M,Raw
119.36,Masters 2,Johan Sanders,135.0,142.5,-150.0,142.5,142.5,120,5,SBD,M,Raw
110.69,Sub-Juniors,Zorin Wijnands,112.5,117.5,-122.5,117.5,117.5,120,6,SBD,M,Raw
124.18,Open,Jordi Snijders,235.0,-245.0,-245.0,235.0,235.0,120+,G,SBD,M,Raw
124.57,Masters 2,Victor Vroom,-110.0,-115.0,-115.0,,,120+,G,SBD,M,Raw